country,iso3,who_region,month_start,month_lab,cases,deaths
Bosnia and Herzegovina,BIH,EURO,2022/12/1,2022-12,0,0
Bosnia and Herzegovina,BIH,EURO,2023/1/1,2023-01,0,0
Bosnia and Herzegovina,BIH,EURO,2023/2/1,2023-02,0,0
Bosnia and Herzegovina,BIH,EURO,2023/3/1,2023-03,0,0
Bosnia and Herzegovina,BIH,EURO,2023/4/1,2023-04,0,0
Bosnia and Herzegovina,BIH,EURO,2023/5/1,2023-05,0,0
Bosnia and Herzegovina,BIH,EURO,2023/6/1,2023-06,0,0
Bosnia and Herzegovina,BIH,EURO,2023/7/1,2023-07,0,0
Bosnia and Herzegovina,BIH,EURO,2023/8/1,2023-08,0,0
Bosnia and Herzegovina,BIH,EURO,2023/9/1,2023-09,0,0
Bosnia and Herzegovina,BIH,EURO,2023/10/1,2023-10,0,0
Bosnia and Herzegovina,BIH,EURO,2023/11/1,2023-11,0,0
Bosnia and Herzegovina,BIH,EURO,2023/12/1,2023-12,0,0
Bosnia and Herzegovina,BIH,EURO,2024/1/1,2024-01,0,0
Bosnia and Herzegovina,BIH,EURO,2024/2/1,2024-02,0,0
Bosnia and Herzegovina,BIH,EURO,2024/3/1,2024-03,0,0
Bosnia and Herzegovina,BIH,EURO,2024/4/1,2024-04,0,0
Bosnia and Herzegovina,BIH,EURO,2024/5/1,2024-05,0,0
Bosnia and Herzegovina,BIH,EURO,2024/6/1,2024-06,0,0
Bosnia and Herzegovina,BIH,EURO,2024/7/1,2024-07,0,0
Bosnia and Herzegovina,BIH,EURO,2024/8/1,2024-08,0,0
Bosnia and Herzegovina,BIH,EURO,2024/9/1,2024-09,0,0
Brazil,BRA,AMRO,2022/5/1,2022-05,8,0
Brazil,BRA,AMRO,2022/6/1,2022-06,307,0
Brazil,BRA,AMRO,2022/7/1,2022-07,2466,1
Brazil,BRA,AMRO,2022/8/1,2022-08,4081,1
Brazil,BRA,AMRO,2022/9/1,2022-09,1936,1
Brazil,BRA,AMRO,2022/10/1,2022-10,960,6
Brazil,BRA,AMRO,2022/11/1,2022-11,632,5
Brazil,BRA,AMRO,2022/12/1,2022-12,269,0
Brazil,BRA,AMRO,2023/1/1,2023-01,187,1
Brazil,BRA,AMRO,2023/2/1,2023-02,47,0
Brazil,BRA,AMRO,2023/3/1,2023-03,40,0
Brazil,BRA,AMRO,2023/4/1,2023-04,25,1
Brazil,BRA,AMRO,2023/5/1,2023-05,26,0
Brazil,BRA,AMRO,2023/6/1,2023-06,21,0
